ベラフ,,,1000,名詞,固有名詞,人名,名,*,*,ベラフ,ベラフ,ベラフ,メイドインアビス辞書
ベルチェロ,,,1000,名詞,固有名詞,人名,名,*,*,ベルチェロ,ベルチェロ,ベルチェロ,メイドインアビス辞書
星の羅針盤,,,1000,名詞,固有名詞,一般,*,*,*,星の羅針盤,ホシノラシンバン,ホシノラシンバン,メイドインアビス辞書
ボンドルド,,,1000,名詞,固有名詞,人名,名,*,*,ボンドルド,ボンドルド,ボンドルド,メイドインアビス辞書
ボンボルド,,,1000,名詞,固有名詞,人名,名,*,*,ボンドルド,ボンドルド,ボンドルド,メイドインアビス辞書
まああ,,,1000,名詞,固有名詞,人名,名,*,*,まああ,マアア,マアア,メイドインアビス辞書
マジカジャ,,,1000,名詞,固有名詞,人名,名,*,*,マジカジャ,マジカジャ,マジカジャ,メイドインアビス辞書
マルルク,,,1000,名詞,固有名詞,人名,名,*,*,マルルク,マルルク,マルルク,メイドインアビス辞書
ミーティ,,,1000,名詞,固有名詞,人名,名,*,*,ミーティ,ミーティ,ミーティ,メイドインアビス辞書
ミオ,,,1000,名詞,固有名詞,人名,名,*,*,ミオ,ミオ,ミオ,メイドインアビス辞書
明星へ登る,,,1000,名詞,固有名詞,一般,*,*,*,明星へ登る,ミョウジョウヘノボル,ミョウジョウヘノボル,メイドインアビス辞書
無尽槌,,,1000,名詞,固有名詞,一般,*,*,*,無尽槌,ムジンツイ,ムジンツイ,メイドインアビス辞書
メイナストイリム,,,1000,名詞,固有名詞,一般,*,*,*,メイナストイリム,メイナストイリム,メイナストイリム,メイドインアビス辞書
メイニャ,,,1000,名詞,固有名詞,人名,名,*,*,メイニャ,メイニャ,メイニャ,メイドインアビス辞書
メナエ,,,1000,名詞,固有名詞,人名,名,*,*,メナエ,メナエ,メナエ,メイドインアビス辞書
目の奥,,,1000,名詞,固有名詞,地域,一般,*,*,目の奥,メノオク,メノオク,メイドインアビス辞書
ユアワース,,,1000,名詞,固有名詞,一般,*,*,*,ユアワース,ユアワース,ユアワース,メイドインアビス辞書
悠遠の文字,,,1000,名詞,固有名詞,一般,*,*,*,悠遠の文字,ユウエンノモジ,ユウエンノモジ,メイドインアビス辞書
ライザ,,,1000,名詞,固有名詞,人名,名,*,*,ライザ,ライザ,ライザ,メイドインアビス辞書
ラストダイブ,,,1000,名詞,接尾,サ変接続,*,*,*,ラストダイブ,ラストダイブ,ラストダイブ,メイドインアビス辞書
ラフィー,,,1000,名詞,固有名詞,人名,名,*,*,ラフィー,ラフィー,ラフィー,メイドインアビス辞書
力場,,,1000,名詞,固有名詞,一般,*,*,*,力場,リキバ,リキバ,メイドインアビス辞書
リコ,,,1000,名詞,固有名詞,人名,名,*,*,リコ,リコ,リコ,メイドインアビス辞書
リュウサザイ,,,1000,名詞,固有名詞,一般,*,*,*,リュウサザイ,リュウザサイ,リュウザサイ,メイドインアビス辞書
黎明卿,,,1000,名詞,代名詞,一般,*,*,*,黎明卿,レイメイキョウ,レイメイキョウ,メイドインアビス辞書
レグ,,,1000,名詞,固有名詞,人名,名,*,*,レグ,レグ,レグ,メイドインアビス辞書
ワズキャン,,,1000,名詞,固有名詞,人名,名,*,*,ワズキャン,ワズキャン,ワズキャン,メイドインアビス辞書
んなぁ,,,1000,感動詞,*,*,*,*,*,んなぁ,ンナァ,ンナァ,メイドインアビス辞書
メイアビ,,,1000,名詞,固有名詞,一般,*,*,*,メイアビ,メイアビ,メイアビ,メイドインアビス辞書
アビス,,,1000,名詞,固有名詞,一般,*,*,*,アビス,アビス,アビス,メイドインアビス辞書
